"STOCK","DOJI_DATE","HINT"
"ABBOTT LAB.","2020-06-26","-"
"Accenture","2020-06-19","buy now"
"ADP","2020-06-26","-"
"AMD","2020-06-19","buy over 60"
"Caterpillar","2020-06-26","-"
"CHUBB","2020-06-26","-"
"COSTCO WHLS","2020-06-26","-"
"Cisco Systems","2020-06-26","buy over 50"
"DOWDUPONT","2020-06-26","-"
"GILEAD SCIENCES","2020-06-26","-"
"Google","2020-06-26","-"
"Home Depot","2020-06-26","buy over 252"
"INTUIT","2020-06-19","buy now"
"MASTERCARD","2020-06-26","buy over 316"
"MONDELEZ INTN.","2020-06-26","sell under 49"
"Monster Beverage","2020-06-26","-"
"ORACLE","2020-06-19","-"
"PEPSICO","2020-06-26","-"
"Procter & Gamble","2020-06-26","-"
"THERMO FISHER SC.","2020-06-19","buy now"
"The Travelers","2020-06-26","-"
"Texas Instruments","2020-06-26","-"
"UnitedHealth Group","2020-06-26","-"
"Visa","2020-06-26","-"
"Wal-Mart Stores","2020-06-26","sell under 118"
"LAST UPDATE","2020-07-05","-"
